1	3279
1	4974
1	4978
1	4999
2	991
2	1527
2	4174
2	4891
3	2375
3	3295
3	3822
3	4035
4	221
4	2078
4	2678
4	4651
5	3308
5	3454
5	4722
5	4849
6	2702
6	4120
6	4972
6	4987
7	2075
7	2708
7	3536
7	4632
8	2898
8	4058
8	4507
8	4895
9	4100
9	4355
9	4502
9	4570
10	302
10	1451
10	2076
10	4726
11	2937
11	3341
11	4259
11	4299
12	187
12	759
12	3110
12	4227
13	3506
13	4076
13	4829
13	4860
14	657
14	3354
14	4692
14	4809
15	2409
15	4022
15	4215
15	4822
16	1057
16	2379
16	4480
16	4491
17	727
17	1074
17	1439
17	3823
18	1109
18	2149
18	2909
18	3293
19	2477
19	4681
19	4924
19	4965
20	1956
20	2522
20	4700
20	4704
21	4439
21	4489
21	4646
21	4969
22	1720
22	3117
22	3849
22	4802
23	569
23	1564
23	3903
23	4010
24	503
24	4233
24	4525
24	4734
25	468
25	2909
25	3675
25	4621
26	1143
26	2077
26	4626
26	4799
27	531
27	1744
27	4408
27	4530
28	1439
28	3593
28	3960
28	4672
29	3235
29	3766
29	3963
29	4303
30	3619
30	3682
30	3881
30	4557
31	1416
31	2345
31	3867
31	4785
32	2317
32	4527
32	4538
32	4713
33	813
33	1646
33	4422
33	4807
34	1633
34	4788
34	4820
34	4861
34	4918
35	1902
35	2094
35	3508
35	4268
36	3554
36	4369
36	4518
36	4838
37	1792
37	2449
37	4932
37	4982
38	596
38	1462
38	3902
38	4083
39	244
39	3511
39	4589
39	4729
40	2211
40	4610
40	4681
40	4910
41	3340
41	3989
41	4424
41	4881
42	3132
42	3265
42	4098
42	4953
43	2825
43	4147
43	4677
43	4686
44	2983
44	4264
44	4345
44	4772
45	1985
45	4104
45	4139
45	4889
46	4563
46	4607
46	4945
46	4973
47	3656
47	4133
47	4246
47	4539
48	3093
48	4465
48	4842
48	4977
49	845
49	2110
49	3917
49	4792
50	1374
50	4411
50	4754
50	4848
51	2051
51	2197
51	3280
51	4328
52	2690
52	3486
52	4129
52	4179
53	157
53	2762
53	4201
53	4724
54	3508
54	4435
54	4842
54	4924
55	588
55	852
55	3901
55	4078
56	938
56	3006
56	3511
56	4991
57	2370
57	4323
57	4673
57	4745
58	1135
58	2730
58	3747
58	4065
59	3299
59	3834
59	4556
59	4627
60	3793
60	3803
60	4401
60	4958
61	109
61	3654
61	4325
61	4860
62	2040
62	2536
62	4150
62	4805
63	2988
63	3948
63	4726
63	4940
64	177
64	4537
64	4588
64	4915
65	2828
65	4031
65	4556
65	4780
66	3419
66	4607
66	4801
66	4973
67	2967
67	4214
67	4571
67	4730
68	2275
68	3074
68	3723
68	4125
69	3882
69	4194
69	4318
